SISTEMA,CENTRO DE CONTROL REGIONAL,ZONA DE CARGA,CLAVE,NOMBRE,NIVEL DE TENSIÓN (kV),DIRECTAMENTE MODELADA,INDIRECTAMENTE MODELADA,DIRECTAMENTE MODELADA,INDIRECTAMENTE MODELADA,ZONA DE OPERACIÓN DE TRANSMISIÓN,GERENCIA REGIONAL DE TRANSMISIÓN,ZONA DE DISTRIBUCIÓN,GERENCIA DIVISIONAL DE DISTRIBUCIÓN,CLAVE DE ENTIDAD FEDERATIVA (INEGI),ENTIDAD FEDERATIVA (INEGI),CLAVE DE MUNICIPIO (INEGI),MUNICIPIO (INEGI),REGION DE TRANSMISION
BCA,BAJA CALIFORNIA,MEXICALI,07MXI-161,Mexicali Dos,161.0,Directamente Modelada,Indirectamente Modelada,Directamente Modelada,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07MXI-230,Mexicali Dos,230.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07NZI-161,Nacozari,161.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07OZA-230,Orizaba,230.0,Directamente Modelada,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07PKD-161,Packard,161.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07RIN-161,Rio Nuevo,161.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07ROA-230,Rosita,230.0,Directamente Modelada,No Aplica,Directamente Modelada,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07RUM-69,Rumorosa,69.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,3.0,TECATE,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07SIS-161,Santa Isabel,161.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07SKW-161,Skyworks,161.0,Directamente Modelada,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07STB-230,Sanchez Taboada,230.0,Directamente Modelada,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07TEK-230,Tecnologico,230.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07VPA-230,Valle de Puebla,230.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07WIS-230,Wisteria,230.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07XCO-230,Xochimilco,230.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,SANLUIS,07CHQ-230,Chapultepec,230.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,SAN LUIS,BAJA CALIFORNIA,26.0,SONORA,55.0,SAN LUIS RIO COLORADO,SAN LUIS RIO COLORADO
BCA,BAJA CALIFORNIA,SANLUIS,07HGO-161,Hidalgo,161.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,SAN LUIS,BAJA CALIFORNIA,26.0,SONORA,55.0,SAN LUIS RIO COLORADO,SAN LUIS RIO COLORADO
BCA,BAJA CALIFORNIA,SANLUIS,07PID-161,Parque Industrial,161.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,SAN LUIS,BAJA CALIFORNIA,26.0,SONORA,55.0,SAN LUIS RIO COLORADO,SAN LUIS RIO COLORADO
BCA,BAJA CALIFORNIA,SANLUIS,07PID-230,Parque Industrial,230.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,SAN LUIS,BAJA CALIFORNIA,26.0,SONORA,55.0,SAN LUIS RIO COLORADO,SAN LUIS RIO COLORADO
BCA,BAJA CALIFORNIA,SANLUIS,07RZC-161,Ruiz Cortinez,161.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,SAN LUIS,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,2.0,MEXICALI,SAN LUIS RIO COLORADO
